target_id,tic_id,sector,class_label,split,processing_status,failure_reason,true_period_days,true_duration_days,true_depth,bls_power,snr,period_days,duration_days,depth,transit_count,odd_even_depth_delta,v_shape_score,local_noise,depth_to_noise_ratio,phase_shape_kurtosis,bls_sde,secondary_eclipse_depth,centroid_shift,crowding_metric,gaia_neighbor_count,odd_even_significance,secondary_eclipse_significance
candidate_c,97315598,78,stellar_variability_or_other,train,success,,,,,0.9792222595369953,7.037961647425092,13.461982456407522,0.01,0.0273644518032804,1.0,0.0,0.0,0.015058630811234255,1.81719388344826,0.3693663766422084,5.239611390263523,0.0,0.0,1.0,0.0,0.7345384613763867,3.3613820284601985
TIC-172900988,172900988,47,stellar_variability_or_other,train,success,,,,,1.0,131.4621093595316,3.9305001811718157,0.25,0.005181694608112735,6.0,0.00021208049178933486,0.0,0.0012953379662596109,4.000264597412582,0.353785316049521,7.589894177726328,0.0,0.00294787,1.0,0.0,1.7881041660685493,27.42418228222877
TIC-295741342,295741342,87,stellar_variability_or_other,train,success,,,,,1.0,64.17219752951921,4.7522484669477425,0.112,0.005067840479633007,5.0,9.91827704521775e-07,0.0,0.0012208856101013096,4.150954387293069,-1.614911273233667,8.893997227504038,0.0,0.0,1.0,0.0,0.004644718413384192,32.13201468906661
TIC-123573708,123573708,98,stellar_variability_or_other,train,success,,,,,1.0,19.718165845374415,1.0884642907180897,0.25,0.005716044026442453,52.0,0.0013267778692684917,0.0,0.02256283589214869,0.25333890002858617,2.012915612118526,10.43297926835975,0.0,0.00041219,1.0,0.0,1.8255591543355896,9.743847174856434
TIC-149540525,149540525,98,stellar_variability_or_other,train,success,,,,,1.0,88.00547175298148,0.5707625655635595,0.25,0.007827571141655111,100.0,0.0013655141715112062,0.3779169794504878,0.009912783681109387,0.7896440993231773,0.19756333001860593,9.84932472805105,0.0,0.00183034,1.0,0.0,6.144928422666323,50.474932431443804
TIC-170672140,170672140,98,stellar_variability_or_other,train,success,,,,,1.0,23.075390599652103,28.471127516912265,0.25,0.007565359513196731,2.0,0.0,0.0,0.006954833970146818,1.0877843447694877,0.5726011760274683,6.308363680333252,0.0,0.02071278,1.0,0.0,2.227082542574281,6.296511761313406
TIC-260507500,260507500,98,stellar_variability_or_other,train,success,,,,,1.0,26.988831881667156,1.7000901324300997,0.25,0.00025375578585924523,33.0,8.94223431058272e-05,0.0,0.0005812690598420443,0.4365547788285885,-0.593636678622731,5.721659371427002,0.0,0.00377362,1.0,0.0,3.785709976717411,17.154853640872787
TIC-169420094,169420094,98,stellar_variability_or_other,train,success,,,,,1.0,9.129253213576733,3.295436883836974,0.25,0.002340436727540169,17.0,0.0,0.0,0.01215513551590758,0.192547152146285,0.0,7.751874705653451,0.0,0.00149042,1.0,0.0,0.0,0.0
TIC-192846995,192846995,98,stellar_variability_or_other,train,success,,,,,0.9972772307501343,9.780112627234686,28.56927209024501,0.25,0.0005756028027219524,2.0,0.0,0.0,0.0006030782880572923,0.9544412626363201,-0.14331054003728028,8.129368572608021,0.0,0.03348353,1.0,0.0,1.511165066227909,7.814826298503542
TIC-400799224,400799224,65,stellar_variability_or_other,train,success,,,,,1.0,30.64818374626779,1.7022751394226014,0.25,0.0032448571056601094,15.0,0.0023092959023810478,0.0,0.004228352421854226,0.767404601586442,0.385242729991198,7.1692853369997955,0.0,0.0,1.0,0.0,8.575395083578925,23.857902249250046
TIC-293939752,293939752,98,stellar_variability_or_other,train,success,,,,,1.0,29.13321460300681,26.19324565331218,0.25,0.001314878669353706,2.0,0.0,0.0,0.000620480552603448,2.119129542153517,0.8445979657987897,5.506352793805982,0.0,0.24879921,1.0,0.0,0.0,0.0
TIC-300291839,300291839,98,stellar_variability_or_other,train,success,,,,,0.9366503551803205,6.944687732982775,9.25300519512719,0.05,0.0011431344382446776,6.0,0.0,0.0,0.0017106314953669636,0.6682528886792495,0.0,7.996507243853747,0.0,0.04763022,1.0,0.0,0.0,0.0
TIC-317136191,317136191,98,stellar_variability_or_other,train,success,,,,,1.0,10.759371612005776,1.4431445654961848,0.25,7.378779245120782e-05,39.0,0.0,0.0,0.0004795700352440978,0.15386239136823956,0.0,4.882300232430541,0.0,0.00109497,1.0,0.0,0.0,0.0
TIC-435916016,435916016,98,stellar_variability_or_other,train,success,,,,,0.8576481616370322,15.15692429675908,0.5651768046436445,0.01,0.0010644900836453087,93.0,0.00014613207296720887,0.0,0.001604596313557802,0.663400554177431,-0.20257284483644034,7.250905950317395,0.0,0.00613279,1.0,0.0,0.8290429856951986,8.352170906756827
TIC-464838129,464838129,98,stellar_variability_or_other,train,success,,,,,0.9894951983278517,6.164639651641673,1.3606388348964469,0.25,0.018716615847379162,38.0,0.0,0.0,0.20716964274183478,0.09034439409012711,0.0,5.39169592927551,0.0,0.00050969,1.0,0.0,0.0,0.0
TIC-43729491,43729491,98,stellar_variability_or_other,train,success,,,,,1.0,60.42501410284796,0.9640663724134249,0.25,0.0008188106695004623,59.0,5.102508227583513e-05,0.007285034496542859,0.0011755709341261108,0.6965217033960993,0.03073928840291673,9.256702512365417,0.0,0.00295579,1.0,0.0,1.4819353931426744,29.908410022946075
TIC-459991770,459991770,98,stellar_variability_or_other,train,success,,,,,1.0,10.048593724722636,1.1686907926893326,0.25,0.019890585351784288,44.0,0.0,0.0,0.1512815200279316,0.13148060217871835,0.0,7.578703922230469,0.0,0.0046788,1.0,0.0,0.0,0.0
TIC-237913194,237913194,29,exoplanet_transit,train,success,,15.1689723,0.0859721458333333,0.0078185475582,1.0,15.909916089996559,11.028121606746376,0.05,0.003890279245425465,2.0,0.0,0.0,0.0049752287981397105,0.7819297168564551,-0.17206515130239763,4.517292652251219,0.0,0.00905674,1.0,0.0,10.549906270989462,16.462082132688323
TIC-25155310,25155310,98,exoplanet_transit,train,success,,3.2887898,0.1431988208333333,0.0070057247902,1.0,140.97302612276616,3.288926038981762,0.112,0.006504300978426231,17.0,0.0002058843753413031,0.0,0.0031915788479925725,2.0379571642158494,-3.0,12.808012776600064,0.0,0.00672396,1.0,0.0,1.7708941840842762,78.13468626049276
TIC-307210830,307210830,98,exoplanet_transit,train,success,,3.6906759,0.046125,0.001657,1.0,34.39676756213963,1.8452863845576934,0.05,0.000872594512580298,31.0,0.001480766385497878,0.0,0.001846506423911279,0.4725651106763896,0.32772305846837124,13.592735258807869,0.0,0.00486526,1.0,0.0,23.27323071321639,35.929114465964304
TIC-237949640,237949640,98,stellar_variability_or_other,train,success,,,,,1.0,48.32728402024677,8.873485491016245,0.25,0.0005690857587901492,6.0,0.00018428502262579638,0.0,0.0010159878428508968,0.5601304806888978,2.887156669329535,7.76808497826319,0.0,0.04104571,1.0,0.0,6.177123963945276,20.072185423474224
TIC-279510954,279510954,98,stellar_variability_or_other,train,success,,,,,1.0,41.97115012734645,23.86962487692997,0.25,0.0006361336969838466,2.0,0.0,0.0,0.0006993351573799488,0.9096263647992676,0.023999830085478013,5.937710322642381,0.0,0.00689627,1.0,0.0,11.075485775980235,16.029781847564482
